# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.645046237131e-10       7.586006461909e-15       2.382561868399e-13       0.000000000000e+00       9.046338867151e-11       9.751316971315e-12      -8.351244252029e-15 
   41       1.668978699050e-10       8.234293962417e-15       2.286722627262e-13       0.000000000000e+00       8.598777923558e-11       9.311593829915e-12      -6.389559722726e-15 
   42       1.693007837604e-10       8.921239578319e-15       2.180548498150e-13       0.000000000000e+00       8.180192042040e-11       8.896432485818e-12      -5.644107522721e-15 
   43       1.717225135244e-10       9.646379549053e-15       2.062926218842e-13       0.000000000000e+00       7.789473294452e-11       8.506511426478e-12      -5.882708483927e-15 
   44       1.741701545898e-10       1.040892638877e-14       1.932520634531e-13       0.000000000000e+00       7.423783275959e-11       8.141180590309e-12      -6.802861819469e-15 
   45       1.766484088367e-10       1.120805238860e-14       1.787876060372e-13       0.000000000000e+00       7.079567610032e-11       7.798905057702e-12      -8.072937021814e-15 
   46       1.791590524530e-10       1.204388706518e-14       1.627792982859e-13       0.000000000000e+00       6.756285810585e-11       7.479023410739e-12      -9.481086249271e-15 
   47       1.817008677833e-10       1.291678479772e-14       1.451037646162e-13       0.000000000000e+00       6.453562138937e-11       7.180320798399e-12      -1.082316207560e-14 
   48       1.842694535745e-10       1.382704578286e-14       1.256226463930e-13       0.000000000000e+00       6.170060567764e-11       6.900436746279e-12      -1.185903200579e-14 
   49       1.868569609065e-10       1.477491401705e-14       1.041817268899e-13       0.000000000000e+00       5.903413365998e-11       6.635783087981e-12      -1.231069101567e-14 
   50       1.894553074364e-10       1.576058617731e-14       8.065349040807e-14       0.000000000000e+00       5.650934387312e-11       6.382584251234e-12      -1.195046315901e-14 
   51       1.920674613285e-10       1.678424578606e-14       5.508044864720e-14       0.000000000000e+00       5.412152870940e-11       6.140521407044e-12      -1.089820981136e-14 
   52       1.946987637606e-10       1.784603483239e-14       2.756920609768e-14       0.000000000000e+00       5.186843967065e-11       5.909935623000e-12      -9.401532653305e-15 
   53       1.973536203083e-10       1.894604221514e-14      -1.748432663485e-15       0.000000000000e+00       4.974270475268e-11       5.690763404146e-12      -7.755031779166e-15 
   54       2.000354005615e-10       2.008430223816e-14      -3.271429405211e-14       0.000000000000e+00       4.773148356659e-11       5.482507441056e-12      -6.302657722133e-15 
   55       2.027464802162e-10       2.126081020404e-14      -6.518232878827e-14       0.000000000000e+00       4.582038615735e-11       5.284466631433e-12      -5.357167601816e-15 
   56       2.054886095637e-10       2.247557717887e-14      -9.914796777530e-14       0.000000000000e+00       4.400715956565e-11       5.096560073790e-12      -4.929674352330e-15 
   57       2.082624607124e-10       2.372858619653e-14      -1.346488535420e-13       0.000000000000e+00       4.229079721963e-11       4.918656534444e-12      -4.937031473123e-15 
   58       2.110674003646e-10       2.501977553187e-14      -1.717283616338e-13       0.000000000000e+00       4.066739825790e-11       4.750314374811e-12      -5.277983916504e-15 
   59       2.139013949839e-10       2.634903786206e-14      -2.104359769739e-13       0.000000000000e+00       3.912998876890e-11       4.590762401046e-12      -5.832290403246e-15 
   60       2.167609159628e-10       2.771621942806e-14      -2.508276702245e-13       0.000000000000e+00       3.766834303019e-11       4.438880713687e-12      -6.459845738183e-15 
   61       2.196424288780e-10       2.912106328626e-14      -2.929544306622e-13       0.000000000000e+00       3.627182358201e-11       4.293504085395e-12      -7.029627617071e-15 
   62       2.225474664197e-10       3.056302607571e-14      -3.368240055923e-13       0.000000000000e+00       3.493905079476e-11       4.154454992444e-12      -7.516115233348e-15 
   63       2.254785310360e-10       3.204141844711e-14      -3.824312017113e-13       0.000000000000e+00       3.367009640334e-11       4.021709530847e-12      -7.923053889215e-15 
   64       2.284375676359e-10       3.355545478244e-14      -4.297689713362e-13       0.000000000000e+00       3.246357486461e-11       3.895086609167e-12      -8.255607517451e-15 
