# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043532239e-10       7.653263647505e-15       2.380572443858e-13       6.776159210800e-17       9.046338867151e-11       9.751316971315e-12      -8.351244252029e-15 
   41       1.670017825097e-10       8.304886767284e-15       2.284586221945e-13       7.119228887712e-17       8.598777923558e-11       9.311593829915e-12      -6.389559722726e-15 
   42       1.694089278188e-10       8.995242772788e-15       2.178260422105e-13       7.471054929538e-17       8.180192042040e-11       8.896432485818e-12      -5.644107522721e-15 
   43       1.718349345926e-10       9.723866982226e-15       2.060482314549e-13       7.831659190342e-17       7.789473294452e-11       8.506511426478e-12      -5.882708483927e-15 
   44       1.742868953181e-10       1.048997092634e-14       1.929917359494e-13       8.201063292957e-17       7.423783275959e-11       8.141180590309e-12      -6.802861819469e-15 
   45       1.767695090224e-10       1.129272580014e-14       1.785110572822e-13       8.579284914956e-17       7.079567610032e-11       7.798905057702e-12      -8.072937021814e-15 
   46       1.792845496354e-10       1.213225974604e-14       1.624863228994e-13       8.966325425437e-17       6.756285810585e-11       7.479023410739e-12      -9.481086249271e-15 
   47       1.818307974458e-10       1.300892560378e-14       1.447942452770e-13       9.362178477820e-17       6.453562138937e-11       7.180320798399e-12      -1.082316207560e-14 
   48       1.844038491984e-10       1.392302190521e-14       1.252965635389e-13       9.766833110876e-17       6.170060567764e-11       6.900436746279e-12      -1.185903200579e-14 
   49       1.869958540272e-10       1.487479085202e-14       1.038391687934e-13       1.018027349367e-16       5.903413365998e-11       6.635783087981e-12      -1.231069101567e-14 
   50       1.895987277640e-10       1.586442717589e-14       8.029466062100e-14       1.060247832367e-16       5.650934387312e-11       6.382584251234e-12      -1.195046315901e-14 
   51       1.922154370804e-10       1.689211224543e-14       5.470566383547e-14       1.103341942026e-16       5.412152870940e-11       6.140521407044e-12      -1.089820981136e-14 
   52       1.948513218428e-10       1.795798572161e-14       2.717890152719e-14       1.147306230858e-16       5.186843967065e-11       5.909935623000e-12      -9.401532653305e-15 
   53       1.975107864430e-10       1.906213401028e-14      -2.153694633159e-15       1.192136626801e-16       4.974270475268e-11       5.690763404146e-12      -7.755031779166e-15 
   54       2.001971994196e-10       2.020458875199e-14      -3.313381523967e-14       1.237828406081e-16       4.773148356659e-11       5.482507441056e-12      -6.302657722133e-15 
   55       2.029129353944e-10       2.138534248424e-14      -6.561527205044e-14       1.284376715307e-16       4.582038615735e-11       5.284466631433e-12      -5.357167601816e-15 
   56       2.056597430412e-10       2.260440364381e-14      -9.959337279227e-14       1.331778351810e-16       4.400715956565e-11       5.096560073790e-12      -4.929674352330e-15 
   57       2.084382927071e-10       2.386175258307e-14      -1.351056379684e-13       1.380030378044e-16       4.229079721963e-11       4.918656534444e-12      -4.937031473123e-15 
   58       2.112479493360e-10       2.515732477202e-14      -1.721953168321e-13       1.429129605486e-16       4.066739825790e-11       4.750314374811e-12      -5.277983916504e-15 
   59       2.140866776349e-10       2.649100995716e-14      -2.109117637407e-13       1.479072588900e-16       3.912998876890e-11       4.590762401046e-12      -5.832290403246e-15 
   60       2.169509472395e-10       2.786265132047e-14      -2.513108145088e-13       1.529855620595e-16       3.766834303019e-11       4.438880713687e-12      -6.459845738183e-15 
   61       2.198372217032e-10       2.927198890027e-14      -2.934433237374e-13       1.581475512593e-16       3.627182358201e-11       4.293504085395e-12      -7.029627617071e-15 
   62       2.227470305606e-10       3.071847691639e-14      -3.373169187722e-13       1.633932161273e-16       3.493905079476e-11       4.154454992444e-12      -7.516115233348e-15 
   63       2.256828726394e-10       3.220142376257e-14      -3.829262897879e-13       1.687226550825e-16       3.367009640334e-11       4.021709530847e-12      -7.923053889215e-15 
   64       2.286466890020e-10       3.372004156831e-14      -4.302642719769e-13       1.741360035018e-16       3.246357486461e-11       3.895086609167e-12      -8.255607517451e-15 
   65       2.316398183650e-10       3.527344358929e-14      -4.793218462596e-13       1.796334356463e-16       3.131656038201e-11       3.774239031735e-12      -8.520427305566e-15 
   66       2.346629525183e-10       3.686064159773e-14      -5.300881399946e-13       1.852151665870e-16       3.022450393025e-11       3.658644581861e-12      -8.725720319953e-15 
   67       2.377160917449e-10       3.848054327282e-14      -5.825504276896e-13       1.908814541310e-16       2.918115027991e-11       3.547597105048e-12      -8.881318130047e-15 
   68       2.407990119237e-10       4.013207033463e-14      -6.366940755067e-13       1.966325889081e-16       2.818020880898e-11       3.440404612945e-12      -8.997655261040e-15 
   69       2.439128753950e-10       4.181454657540e-14      -6.925023601329e-13       2.024688579920e-16       2.722094454410e-11       3.337050139538e-12      -9.082310792812e-15 
   70       2.470588679119e-10       4.352738412684e-14      -7.499566143156e-13       2.083905773336e-16       2.630357615618e-11       3.237649388572e-12      -9.142886057537e-15 
   71       2.502376849080e-10       4.526997014325e-14      -8.090362791065e-13       2.143981045430e-16       2.542758497324e-11       3.142252003634e-12      -9.188072819995e-15 
   72       2.534495000031e-10       4.704166727991e-14      -8.697189031341e-13       2.204918405122e-16       2.459167685892e-11       3.050837946015e-12      -9.227694020106e-15 
   73       2.566939335097e-10       4.884181417161e-14      -9.319801418771e-13       2.266722310389e-16       2.379374409106e-11       2.963313872571e-12      -9.272744515458e-15 
   74       2.599700209386e-10       5.066972591106e-14      -9.957937569371e-13       2.329397684493e-16       2.303082724016e-11       2.879509513581e-12      -9.335431823843e-15 
   75       2.632761815051e-10       5.252469452740e-14      -1.061131615312e-12       2.392949932213e-16       2.229907704795e-11       2.799174050619e-12      -9.429216865788e-15 
   76       2.666108616502e-10       5.440582967741e-14      -1.127960790721e-12       2.457383967162e-16       2.159471002537e-11       2.722042659239e-12      -9.564915015625e-15 
   77       2.699746707002e-10       5.631154612296e-14      -1.196234258945e-12       2.522701053059e-16       2.091716069379e-11       2.648058152906e-12      -9.738088360933e-15 
   78       2.733685792464e-10       5.823998322766e-14      -1.265898496535e-12       2.588901413261e-16       2.026643758180e-11       2.577183363994e-12      -9.939417700208e-15 
   79       2.767932613123e-10       6.018915369997e-14      -1.336896169052e-12       2.655985164601e-16       1.964216304344e-11       2.509332416548e-12      -1.015839887743e-14 
   80       2.802490767015e-10       6.215694079504e-14      -1.409166070915e-12       2.723952313343e-16       1.904355551379e-11       2.444368542933e-12      -1.038330273804e-14 
   81       2.837360533454e-10       6.414109551665e-14      -1.482643065253e-12       2.792802751135e-16       1.846941176446e-11       2.382101900483e-12      -1.060113508489e-14 
   82       2.872538696512e-10       6.613923381911e-14      -1.557258023749e-12       2.862536250962e-16       1.791808915917e-11       2.322287388147e-12      -1.079759663423e-14 
   83       2.908018368493e-10       6.814883380912e-14      -1.632937766490e-12       2.933152463102e-16       1.738748790930e-11       2.264622463139e-12      -1.095704297167e-14 
   84       2.943792666268e-10       7.016748491273e-14      -1.709613409670e-12       3.004651064465e-16       1.687556143945e-11       2.208818460277e-12      -1.106573110382e-14 
   85       2.979866827196e-10       7.219368896562e-14      -1.787247130481e-12       3.077032243939e-16       1.638198356541e-11       2.154832917214e-12      -1.112226521958e-14 
   86       3.016247787460e-10       7.422618741394e-14      -1.865809749620e-12       3.150296290461e-16       1.590672645047e-11       2.102671939813e-12      -1.112881724751e-14 
   87       3.052940397672e-10       7.626372257241e-14      -1.945272797898e-12       3.224443445333e-16       1.544954833102e-11       2.052319189809e-12      -1.108800919574e-14 
   88       3.089947311107e-10       7.830503906095e-14      -2.025608597399e-12       3.299473900757e-16       1.500998464791e-11       2.003734936796e-12      -1.100292834485e-14 
   89       3.127268871935e-10       8.034888524132e-14      -2.106790342635e-12       3.375387798365e-16       1.458733917782e-11       1.956855110217e-12      -1.087714244072e-14 
   90       3.164903003451e-10       8.239401465366e-14      -2.188792181703e-12       3.452185227749e-16       1.418067516456e-11       1.911590351348e-12      -1.071471488740e-14 
   91       3.202845096306e-10       8.443918745312e-14      -2.271589297444e-12       3.529866224997e-16       1.378880645043e-11       1.867825065288e-12      -1.052021994000e-14 
   92       3.241087896740e-10       8.648317184648e-14      -2.355157988596e-12       3.608430771219e-16       1.341028860762e-11       1.825416472948e-12      -1.029875789755e-14 
   93       3.279624080906e-10       8.852463558239e-14      -2.439467674524e-12       3.687879962194e-16       1.304376166992e-11       1.784230459879e-12      -1.005548223249e-14 
   94       3.318454663508e-10       9.056179863351e-14      -2.524455357602e-12       3.768219721701e-16       1.268905655592e-11       1.744257349421e-12      -9.794066625632e-15 
   95       3.357581653060e-10       9.259273069079e-14      -2.610047452149e-12       3.849457646558e-16       1.234623942902e-11       1.705511870087e-12      -9.518034390448e-15 
   96       3.397005404581e-10       9.461545638384e-14      -2.696167489322e-12       3.931601899682e-16       1.201527093594e-11       1.667997473215e-12      -9.231234372754e-15 
   97       3.436724544698e-10       9.662795520827e-14      -2.782736087408e-12       4.014661224699e-16       1.169600216448e-11       1.631705890061e-12      -8.937849444006e-15 
   98       3.476735896749e-10       9.862816145310e-14      -2.869670922116e-12       4.098644960550e-16       1.138817060117e-11       1.596616688894e-12      -8.642404994602e-15 
   99       3.517034405886e-10       1.006139641281e-13      -2.956886696870e-12       4.183563056098e-16       1.109139608903e-11       1.562696832083e-12      -8.349777427190e-15 
  100       3.557613064180e-10       1.025832068914e-13      -3.044295113106e-12       4.269426084737e-16       1.080517678523e-11       1.529900233192e-12      -8.065202649970e-15 
  101       3.598462835720e-10       1.045336879763e-13      -3.131804840557e-12       4.356245258998e-16       1.052888511884e-11       1.498167314073e-12      -7.794284570001e-15 
  102       3.639572581721e-10       1.064631601195e-13      -3.219321487553e-12       4.444032445155e-16       1.026176374852e-11       1.467424561955e-12      -7.543003586499e-15 
  103       3.680928985621e-10       1.083693304878e-13      -3.306747571311e-12       4.532800177837e-16       1.000292152022e-11       1.437584086539e-12      -7.317725084147e-15 
  104       3.722519393966e-10       1.102499692268e-13      -3.393989009033e-12       4.622560358659e-16       9.751535493596e-12       1.408563631978e-12      -7.123732554915e-15 
  105       3.764340937417e-10       1.121032519624e-13      -3.480975653825e-12       4.713320120462e-16       9.507496808704e-12       1.380350645534e-12      -6.960582996693e-15 
  106       3.806392507962e-10       1.139274636461e-13      -3.567643490413e-12       4.805085429028e-16       9.270844936645e-12       1.352946078245e-12      -6.826137009847e-15 
  107       3.848671910830e-10       1.157208951734e-13      -3.653928403506e-12       4.897862349302e-16       9.041567645571e-12       1.326344487398e-12      -6.717970514717e-15 
  108       3.891175821631e-10       1.174818445045e-13      -3.739766219743e-12       4.991657045540e-16       8.819599222881e-12       1.300533818397e-12      -6.633367032048e-15 
